x,y,z
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.001298761091357292e+00,1.110374922673852405e+00,9.953493057009554779e-01
1.005164133585026764e+00,1.220827691068089527e+00,9.910030939648730719e-01
1.011553117759574238e+00,1.331617575250286345e+00,9.869691420837327644e-01
1.020427202492456997e+00,1.443005200298558055e+00,9.832576955182054101e-01
1.031752365260024895e+00,1.555252546301559846e+00,9.798814678976528469e-01
1.045499072137519914e+00,1.668622948358486457e+00,9.768556410201277851e-01
1.061642277799075496e+00,1.783381096579073066e+00,9.741978648523741402e-01
1.080161425517717655e+00,1.899793036083594178e+00,9.719282575298263671e-01
1.101040447165364311e+00,2.018126167002864513e+00,9.700694053566103481e-01
1.124267763212825288e+00,2.138649244478239897e+00,9.686463628055425046e-01
1.149836282729802983e+00,2.261632378661614151e+00,9.676866525181305745e-01
1.177743403384891252e+00,2.387347034715422645e+00,9.672202653045729459e-01
1.207991011445576301e+00,2.516066032812638742e+00,9.672796601437591013e-01
1.240585808071061891e+00,2.648065043048020151e+00,9.679024398945863528e-01
1.275550084277377483e+00,2.783618222081115423e+00,9.691489388486097534e-01
1.312923732239066998e+00,2.922962429466681833e+00,9.710576712602120297e-01
1.352751342527146461e+00,3.066336363988065195e+00,9.736670888771808974e-01
1.395081403643027240e+00,3.213987802410823491e+00,9.770232643977485587e-01
1.439966302018515165e+00,3.366173599482728207e+00,9.811798914705914809e-01
1.487462322015810967e+00,3.523159687933761219e+00,9.861982846948307291e-01
1.537629645927510502e+00,3.685221078476118350e+00,9.921473796200316331e-01
1.590532353976604085e+00,3.852641859804207147e+00,9.991037327462041207e-01
1.646238424316476490e+00,4.025715198594647326e+00,1.007151521523802495e+00
1.704819733030908058e+00,4.204743339506269884e+00,1.016382544353725326e+00
1.766352054134073590e+00,4.390037605180120650e+00,1.026896220587315778e+00
1.830915059570542791e+00,4.581918396239457181e+00,1.038799590526361616e+00
1.898592319215280044e+00,4.780715191289747423e+00,1.052207315423094647e+00
1.969471300873644415e+00,4.986766546918672383e+00,1.067241677480191386e+00
2.043643370281389871e+00,5.200420097696126120e+00,1.084032579850772393e+00
2.121203791104665726e+00,5.422032556174213980e+00,1.102717546638403379e+00
2.202251724940015531e+00,5.651969712887254360e+00,1.123441722897093653e+00
2.286894257631772565e+00,5.890581107814957917e+00,1.146433267566232761e+00
2.375263257051820620e+00,6.138171865051139875e+00,1.172049670967802548e+00
2.467496513335626140e+00,6.395138028337241209e+00,1.200385492955572841e+00
2.563737099259435492e+00,6.661890043262081562e+00,1.231551545528026370e+00
2.664133961385516614e+00,6.938845912907768643e+00,1.265697072412452107e+00
2.768841920062158124e+00,7.226431197849702670e+00,1.303009749064944600e+00
2.878021669423672435e+00,7.525079016156572820e+00,1.343715682670404199e+00
